LAT,LON
0.413382230000000E+02,-0.110350822000000E+03
0.413382040000000E+02,-0.110336009000000E+03
0.413505060000000E+02,-0.110335982000000E+03
0.413492750000000E+02,-0.110345454000000E+03
0.413486340000000E+02,-0.110346881000000E+03
0.413436450000000E+02,-0.110353041000000E+03
0.413419970000000E+02,-0.110353738000000E+03
0.413399140000000E+02,-0.110357290000000E+03
0.413391120000000E+02,-0.110361782000000E+03
0.413394760000000E+02,-0.110364636000000E+03
0.413386980000000E+02,-0.110366821000000E+03
0.413376670000000E+02,-0.110368247000000E+03
0.413363170000000E+02,-0.110369338000000E+03
0.413353560000000E+02,-0.110369338000000E+03
0.413319680000000E+02,-0.110372431000000E+03
0.413317160000000E+02,-0.110378722000000E+03
0.413323150000000E+02,-0.110388223000000E+03
0.413374870000000E+02,-0.110391406000000E+03
0.413416970000000E+02,-0.110391312000000E+03
0.413466060000000E+02,-0.110390052000000E+03
0.413493850000000E+02,-0.110392247000000E+03
0.413343840000000E+02,-0.110448202000000E+03
0.413359170000000E+02,-0.110447140000000E+03
0.413369010000000E+02,-0.110447019000000E+03
0.413332150000000E+02,-0.110464260000000E+03
0.413374010000000E+02,-0.110469726000000E+03
0.413377890000000E+02,-0.110473035000000E+03
0.413381550000000E+02,-0.110473278000000E+03
0.413411750000000E+02,-0.110473279000000E+03
0.413422960000000E+02,-0.110472278000000E+03
0.413443790000000E+02,-0.110468940000000E+03
0.413454090000000E+02,-0.110468333000000E+03
0.413448750000000E+02,-0.110489615000000E+03
0.413462910000000E+02,-0.110494747000000E+03
0.413483500000000E+02,-0.110496753000000E+03
0.413510040000000E+02,-0.110496451000000E+03
0.413548940000000E+02,-0.110494056000000E+03
0.413572980000000E+02,-0.110491507000000E+03
0.413595190000000E+02,-0.110487865000000E+03
0.413618290000000E+02,-0.110490023000000E+03
0.413610260000000E+02,-0.110494001000000E+03
0.413415560000000E+02,-0.110512370000000E+03
0.413394070000000E+02,-0.110515802000000E+03
0.413408290000000E+02,-0.110524757000000E+03
0.413420000000000E+02,-0.110537750000000E+03
0.413325310000000E+02,-0.110561703000000E+03
0.413301280000000E+02,-0.110565376000000E+03
0.413290760000000E+02,-0.110565983000000E+03
0.413282290000000E+02,-0.110564617000000E+03
0.413181830000000E+02,-0.110587742000000E+03
0.413214530000000E+02,-0.110592872000000E+03
0.413225050000000E+02,-0.110593632000000E+03
0.413242650000000E+02,-0.110599764000000E+03
0.413085220000000E+02,-0.110607371000000E+03
0.413029860000000E+02,-0.110602239000000E+03
0.412964880000000E+02,-0.110604571000000E+03
0.412947040000000E+02,-0.110603478000000E+03
0.412908610000000E+02,-0.110598380000000E+03
0.412908610000000E+02,-0.110598380000000E+03
0.412869250000000E+02,-0.110601016000000E+03
0.412806030000000E+02,-0.110618574000000E+03
0.412787780000000E+02,-0.110627361000000E+03
0.412810810000000E+02,-0.110629201000000E+03
0.412843310000000E+02,-0.110630745000000E+03
0.412851320000000E+02,-0.110630745000000E+03
0.412864590000000E+02,-0.110629743000000E+03
0.412967550000000E+02,-0.110630189000000E+03
0.412985220000000E+02,-0.110631395000000E+03
0.412991700000000E+02,-0.110668869000000E+03
0.412985300000000E+02,-0.110670417000000E+03
0.412975000000000E+02,-0.110668142000000E+03
0.412957840000000E+02,-0.110668142000000E+03
0.412885310000000E+02,-0.110671087000000E+03
0.412824220000000E+02,-0.110671240000000E+03
0.412784180000000E+02,-0.110680522000000E+03
0.412776410000000E+02,-0.110685133000000E+03
0.412758330000000E+02,-0.110686680000000E+03
0.412737510000000E+02,-0.110693776000000E+03
0.412748450000000E+02,-0.110694972000000E+03
0.412724240000000E+02,-0.110696930000000E+03
0.412714400000000E+02,-0.110701782000000E+03
0.412712330000000E+02,-0.110707119000000E+03
0.412698820000000E+02,-0.110712548000000E+03
0.412675470000000E+02,-0.110716944000000E+03
0.412653710000000E+02,-0.110726434000000E+03
0.412656440000000E+02,-0.110729830000000E+03
0.412672450000000E+02,-0.110731681000000E+03
0.412690760000000E+02,-0.110731561000000E+03
0.412734690000000E+02,-0.110729441000000E+03
0.412768550000000E+02,-0.110730565000000E+03
0.412875370000000E+02,-0.110739430000000E+03
0.412881530000000E+02,-0.110741948000000E+03
0.412891140000000E+02,-0.110743223000000E+03
0.412916300000000E+02,-0.110743437000000E+03
0.412950170000000E+02,-0.110742773000000E+03
0.413042860000000E+02,-0.110737441000000E+03
0.413071930000000E+02,-0.110733165000000E+03
0.413105590000000E+02,-0.110726006000000E+03
0.413135120000000E+02,-0.110721910000000E+03
0.413491190000000E+02,-0.110690108000000E+03
0.413547470000000E+02,-0.110686009000000E+03
0.413598720000000E+02,-0.110690049000000E+03
0.413634870000000E+02,-0.110690656000000E+03
0.413719980000000E+02,-0.110690140000000E+03
0.413782530000000E+02,-0.110689047000000E+03
0.413794660000000E+02,-0.110690019000000E+03
0.413808610000000E+02,-0.110691660000000E+03
0.413815690000000E+02,-0.110698403000000E+03
0.413802640000000E+02,-0.110706787000000E+03
0.413805380000000E+02,-0.110710555000000E+03
0.413879050000000E+02,-0.110708886000000E+03
0.413943570000000E+02,-0.110709739000000E+03
0.413955240000000E+02,-0.110710347000000E+03
0.413965760000000E+02,-0.110713234000000E+03
0.413965520000000E+02,-0.110717943000000E+03
0.413999570000000E+02,-0.110730920000000E+03
0.414013980000000E+02,-0.110732167000000E+03
0.414046920000000E+02,-0.110732503000000E+03
0.414062950000000E+02,-0.110730499000000E+03
0.414075320000000E+02,-0.110725880000000E+03
0.414076930000000E+02,-0.110722993000000E+03
0.414066180000000E+02,-0.110720257000000E+03
0.414037360000000E+02,-0.110717673000000E+03
0.414041720000000E+02,-0.110714300000000E+03
0.414120230000000E+02,-0.110695399000000E+03
0.414148370000000E+02,-0.110694093000000E+03
0.414178120000000E+02,-0.110694944000000E+03
0.414244240000000E+02,-0.110693243000000E+03
0.414258420000000E+02,-0.110691206000000E+03
0.414277870000000E+02,-0.110690051000000E+03
0.414347650000000E+02,-0.110687862000000E+03
0.414426820000000E+02,-0.110686646000000E+03
0.414481500000000E+02,-0.110687011000000E+03
0.414498200000000E+02,-0.110687376000000E+03
0.414508500000000E+02,-0.110689383000000E+03
0.414558830000000E+02,-0.110693276000000E+03
0.414569580000000E+02,-0.110692911000000E+03
0.414580110000000E+02,-0.110690234000000E+03
0.414585830000000E+02,-0.110689808000000E+03
0.414616710000000E+02,-0.110693155000000E+03
0.414627230000000E+02,-0.110699785000000E+03
0.414640270000000E+02,-0.110700820000000E+03
0.414698840000000E+02,-0.110701277000000E+03
0.414777090000000E+02,-0.110702617000000E+03
0.414846410000000E+02,-0.110704566000000E+03
0.414907510000000E+02,-0.110697873000000E+03
0.414943890000000E+02,-0.110695500000000E+03
0.414946170000000E+02,-0.110696446000000E+03
0.414936050000000E+02,-0.110699597000000E+03
0.414930820000000E+02,-0.110700433000000E+03
0.414910920000000E+02,-0.110701432000000E+03
0.414902890000000E+02,-0.110703640000000E+03
0.414929780000000E+02,-0.110707481000000E+03
0.414982620000000E+02,-0.110711406000000E+03
0.414999470000000E+02,-0.110710558000000E+03
0.415011430000000E+02,-0.110709099000000E+03
0.415056010000000E+02,-0.110705779000000E+03
0.415081310000000E+02,-0.110706794000000E+03
0.415121290000000E+02,-0.110705244000000E+03
0.415185370000000E+02,-0.110697208000000E+03
0.415190180000000E+02,-0.110692733000000E+03
0.415252870000000E+02,-0.110692977000000E+03
0.415322420000000E+02,-0.110688989000000E+03
0.415332940000000E+02,-0.110682382000000E+03
0.415344840000000E+02,-0.110681164000000E+03
0.415386480000000E+02,-0.110681042000000E+03
0.415410500000000E+02,-0.110678393000000E+03
0.415438410000000E+02,-0.110672637000000E+03
0.415434740000000E+02,-0.110670656000000E+03
0.415436800000000E+02,-0.110667733000000E+03
0.415469280000000E+02,-0.110664169000000E+03
0.415501990000000E+02,-0.110662492000000E+03
0.415542950000000E+02,-0.110663191000000E+03
0.415572460000000E+02,-0.110662581000000E+03
0.415601280000000E+02,-0.110661118000000E+03
0.415655720000000E+02,-0.110656241000000E+03
0.415763480000000E+02,-0.110655383000000E+03
0.415773550000000E+02,-0.110658033000000E+03
0.415778820000000E+02,-0.110663823000000E+03
0.415789960000000E+02,-0.110665322000000E+03
END,END
